id,customer_id,sub_total,tax,discount,total,payment_id,courier_id,promo_id,created_at,updated_at,deleted_at
0d53282f-09f8-4150-b2ac-b5ba3c7438da,3799bb46-1c41-4cad-96a4-bbc4e14a298a,115000,10000,25000,480000,9acfb405-fc55-4052-9775-9e8473c20c2a,e079c5d5-001a-43b0-8a95-d949482e7e72,d3696708-0735-4d11-9723-7e2547f67ab0,2024-06-10 10:25:40.123658+00:00,2024-06-10 10:25:40.123658+00:00,
ffa0e681-e6a7-48f2-b170-a81d5ae59005,3799bb46-1c41-4cad-96a4-bbc4e14a298a,50000,10000,32000,60000,3f6110e3-fd69-4783-aa39-854065925971,b2d89c1d-7e4d-4f36-8ca8-beee34104a62,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-05-25 08:41:52.085000+00:00,2024-06-15 08:41:52.085961+00:00,
9881d82c-707f-4539-8557-377ef2550232,c1854c5d-9d3a-40ae-b560-14c85ff56974,300000,10000,32000,286000,bdf7e3ef-f469-4077-9df5-2f8305b7792f,398ee6a3-8e5b-4975-81fa-76aa14cd8405,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-12 08:20:55.065000+00:00,2024-06-15 08:20:55.065996+00:00,
1323c44c-831b-4eaa-b88c-672a71858036,c790d538-5cb2-457a-8dc8-74a7997a50d1,300000,10000,32000,310000,2630d196-7629-4836-8907-ccceb28c1830,6ddc2f43-2e3c-4bdb-b76e-1aa6accb4b7f,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-15 08:24:43.227000+00:00,2024-06-15 08:24:43.227939+00:00,
34f019d8-fa41-4c91-bf58-9ad63cbe41b0,69998113-c910-4d36-ae2f-0d7f85326c1d,25000,10000,32000,21000,56e47f2f-7e64-4ebf-b194-cf599216bdb6,5922e5be-0b2f-4c49-b981-879248dca899,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-21 08:29:14.742000+00:00,2024-06-15 08:29:14.742759+00:00,
b0783624-7903-4750-83d6-4feb096411e0,b2d1324d-85d5-411d-83c5-97afae9818fe,190000,10000,32000,187000,d00dec70-26a7-488b-ac0b-223a856e63be,119c01d8-7f12-4e2a-bbfc-03b17366450b,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-05-31 08:38:21.040000+00:00,2024-06-15 08:38:21.040691+00:00,
37eab651-4bdb-45c3-87a7-f8e9cc6494f2,2108e937-74b1-4325-9a2b-95bf7c7c37f2,195000,10000,32000,196000,24cc6b01-3b36-42e3-8cfa-b7541eeca33f,5c9903d6-a1c1-4309-ad5d-9489f30c673b,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-25 08:32:30.562000+00:00,2024-06-15 08:32:30.562420+00:00,
e16007e7-b191-4e4e-a674-ad808a42fe38,c790d538-5cb2-457a-8dc8-74a7997a50d1,600000,10000,32000,610000,924ad430-0b2f-46ba-8c42-664f9d2a3057,d6a77868-3163-45c8-a1c1-e15dcc82ec4f,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-16 08:26:01.314000+00:00,2024-06-15 08:26:01.314135+00:00,
3ec25c33-3f60-46ca-bd8d-ead3d7aa9154,51db94bf-043e-4ccf-a9e2-5e2ff586ba83,220000,10000,32000,221000,227b8b8b-5012-41f5-9e58-cf4bb1867d37,d6d56548-c3cd-4441-bbeb-7cdf4b77f621,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-06-09 08:15:58.332000+00:00,2024-06-15 08:15:58.332089+00:00,
260e5fae-b18f-485a-8c72-153b7cf630e5,3799bb46-1c41-4cad-96a4-bbc4e14a298a,95000,10000,32000,105000,38d831a6-0bd4-4b1e-af5a-ca8c9474b388,aecc2338-3f15-4329-91ab-b38617589294,b87da367-f5a7-4f25-abe6-1b77c057c13d,2024-05-24 08:42:02.839000+00:00,2024-06-15 08:42:02.839635+00:00,
