id,title,content,picture,created_at,updated_at,deleted_at,admin_id
f8e4fff3-01b0-47a5-918e-ca8912b6c283,this test title,this test content,https://storage.googleapis.com/tanam-apps/f8e4fff3-01b0-47a5-918e-ca8912b6c283.jpeg,2024-06-16 06:53:42.283719+00:00,2024-06-16 06:53:42.283719+00:00,2024-06-18 23:32:07.765055+00:00,
c7a6e311-2106-456f-8bef-c3707539823d,this test title,this test content,https://storage.googleapis.com/tanam-apps/c7a6e311-2106-456f-8bef-c3707539823d.png,2024-06-16 08:11:46.020143+00:00,2024-06-16 08:11:46.020143+00:00,,
82971c5c-860d-4542-8b10-d669beeb1757,this is update test title,this is update test description,https://storage.googleapis.com/tanam-apps/82971c5c-860d-4542-8b10-d669beeb1757.jpeg,2024-06-16 07:11:01.593160+00:00,2024-06-18 21:13:58.478497+00:00,2024-06-18 23:31:07.580579+00:00,
161c8689-580a-492b-91ec-79e0a01a937d,this test title,this test content,https://storage.googleapis.com/tanam-apps/161c8689-580a-492b-91ec-79e0a01a937d.jpeg,2024-06-16 08:15:36.613867+00:00,2024-06-16 08:15:36.613867+00:00,,
e4bdec48-f4f2-44fc-a9d2-9465cbab2da0,this test title,this test content,https://storage.googleapis.com/tanam-apps/e4bdec48-f4f2-44fc-a9d2-9465cbab2da0.jpeg,2024-06-16 08:32:51.681714+00:00,2024-06-16 08:32:51.681714+00:00,,
2e63b744-b48a-4aa4-8ae3-e536048c65e6,this test title,this test content,https://storage.googleapis.com/tanam-apps/2e63b744-b48a-4aa4-8ae3-e536048c65e6.jpeg,2024-06-16 06:55:10.668541+00:00,2024-06-16 06:55:10.668541+00:00,2024-06-18 23:32:57.528934+00:00,
2e37f26e-3ca0-4787-be6a-63cd9c839154,this test title,this test content,https://storage.googleapis.com/tanam-apps/2e37f26e-3ca0-4787-be6a-63cd9c839154.jpeg,2024-06-16 07:30:47.592024+00:00,2024-06-16 07:30:47.592024+00:00,2024-06-20 10:12:28.460295+00:00,
9ae520ea-e81d-413c-94ac-e0a844a0c3fc,this test title,<p>this test content</p>,https://storage.googleapis.com/tanam-apps/9ae520ea-e81d-413c-94ac-e0a844a0c3fc.png,2024-06-16 07:45:29.822026+00:00,2024-06-20 14:52:19.933736+00:00,,
5ff56720-a49f-4542-83f3-638e23c12ddf,this test title,<p>this test content</p><p><br></p><p>content testing</p>,https://storage.googleapis.com/tanam-apps/5ff56720-a49f-4542-83f3-638e23c12ddf.jpeg,2024-06-16 07:54:15.786498+00:00,2024-06-20 14:58:03.908684+00:00,,
cc6ab79f-05ab-432c-8b05-6932ee6f44ca,this test title,<p>this test content</p>,https://storage.googleapis.com/tanam-apps/cc6ab79f-05ab-432c-8b05-6932ee6f44ca.jpeg,2024-06-16 08:28:08.832369+00:00,2024-06-20 14:58:31.815377+00:00,,
fdf64461-4911-477f-bc59-8d15f7ce45ed,this test title,this test content,https://storage.googleapis.com/tanam-apps/fdf64461-4911-477f-bc59-8d15f7ce45ed.jpeg,2024-06-16 07:57:14.526295+00:00,2024-06-16 07:57:14.526295+00:00,2024-06-21 12:41:14.535217+00:00,
1b43d9ae-7d93-4403-8b90-fc5beaf08fcc,undefined,undefined,https://storage.googleapis.com/tanam-apps/1b43d9ae-7d93-4403-8b90-fc5beaf08fcc.jpeg,2024-06-16 07:58:39.522679+00:00,2024-06-21 19:22:13.607857+00:00,,b01b4f90-a24f-478a-aa45-38135ac2420b
d5d765e8-4854-4806-a380-7b928c85a73e,this test title,<p>this test content</p>,https://storage.googleapis.com/tanam-apps/d5d765e8-4854-4806-a380-7b928c85a73e.jpeg,2024-06-16 08:36:56.137958+00:00,2024-06-21 22:13:17.123009+00:00,,b01b4f90-a24f-478a-aa45-38135ac2420b
349d1133-c27a-4244-bf29-a4451bbebc8a,this test title,<p>this test content</p>,https://storage.googleapis.com/tanam-apps/349d1133-c27a-4244-bf29-a4451bbebc8a.jpeg,2024-06-16 08:26:52.191899+00:00,2024-06-21 22:13:27.848600+00:00,,b01b4f90-a24f-478a-aa45-38135ac2420b
447717a8-6463-4ac3-9979-70aa5ca80236,this test title,this test content,https://storage.googleapis.com/tanam-apps/447717a8-6463-4ac3-9979-70aa5ca80236.jpeg,2024-06-16 08:02:46.281456+00:00,2024-06-16 08:02:46.281456+00:00,2024-06-23 11:06:45.773450+00:00,
e6ef8f55-8571-42bf-898a-ea2e8e5b0b1b,this is update test title,this is update test description,https://storage.googleapis.com/tanam-apps/e6ef8f55-8571-42bf-898a-ea2e8e5b0b1b.jpeg,2024-06-16 08:13:41.269551+00:00,2024-06-23 23:12:38.473260+00:00,,b01b4f90-a24f-478a-aa45-38135ac2420b
59efc6c8-3c92-43d1-8162-d425e54fcf8c,this test title,this test content,https://storage.googleapis.com/tanam-apps/59efc6c8-3c92-43d1-8162-d425e54fcf8c.jpeg,2024-06-16 08:39:08.056985+00:00,2024-06-16 08:39:08.056985+00:00,,
87052aad-96f9-4af6-9316-db88f76f78a5,this test title,this test content,https://storage.googleapis.com/tanam-apps/87052aad-96f9-4af6-9316-db88f76f78a5.jpeg,2024-06-16 08:59:57.459190+00:00,2024-06-16 08:59:57.459190+00:00,,
f0e84574-773d-4aa8-9af5-093795c70c3d,this test title,this test content,https://storage.googleapis.com/tanam-apps/f0e84574-773d-4aa8-9af5-093795c70c3d.jpeg,2024-06-16 09:03:07.126712+00:00,2024-06-16 09:03:07.126712+00:00,,
b6a7408e-24fe-45ed-8f8c-9f0e43e2353c,this test title,this test content,https://storage.googleapis.com/tanam-apps/b6a7408e-24fe-45ed-8f8c-9f0e43e2353c.jpeg,2024-06-16 09:07:35.578665+00:00,2024-06-16 09:07:35.578665+00:00,,
a07181b9-2768-4666-b335-a5203d3beed1,this test title,this test content,https://storage.googleapis.com/tanam-apps/a07181b9-2768-4666-b335-a5203d3beed1.jpeg,2024-06-16 09:11:12.686869+00:00,2024-06-16 09:11:12.686869+00:00,,
efdf9c17-eb0c-48bf-ab6c-2adac59c7eb9,this test title,this test content,https://storage.googleapis.com/tanam-apps/efdf9c17-eb0c-48bf-ab6c-2adac59c7eb9.jpeg,2024-06-16 09:16:31.912946+00:00,2024-06-16 09:16:31.912946+00:00,,
